"Município","ibge","latitude","longitude","/Transportes/Número de Acidentes Fatais/Total 2007 (-)","/Transportes/Número de Acidentes Fatais/Total 2008 (-)","/Transportes/Número de Acidentes Fatais/Total 2009 (-)","/Transportes/Número de Acidentes Fatais/Total 2010 (-)","/Transportes/Número de Acidentes Fatais/Total 2011 (-)","/Transportes/Número de Acidentes Fatais/Total 2012 (-)","/Transportes/Número de Acidentes Fatais/Total 2013 (-)"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","1","-","1","1","3","-","1"
"Nova Petrópolis","4313201","-29.374099999990","-51.113500000000","4","2","8","5","4","7","2"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","4","5","3","5","7","5","4"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","-","-","1","-","-","1","-"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","1","-","-","-","-","-","-"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","5","8","5","8","4","2","4"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","1","2","1","1","1","2","1"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","6","4","-","-","1","1","2"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","38","38","36","40","33","24","31"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","1","-","-","-","2","3","1"
"Novo Tiradentes","4313441","-27.564900000000","-53.183700000000","-","1","2","-","1","-","-"
"Osório","4313508","-29.888100000000","-50.266700000000","14","2","10","14","11","11","16"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","-","1","-","-","2","1","-"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","3","5","3","2","2","4","4"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","7","7","5","5","6","5","5"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","1","1","1","3","2","2","2"
"Panambi","4313904","-28.283300000000","-53.502299999990","4","2","9","10","10","8","11"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","6","4","3","3","3","2","1"
"Paraí","4314001","-28.596399999990","-51.789600000000","1","1","1","1","3","2","4"
"Paraíso do Sul","4314027","-29.671700000000","-53.143999999990","2","1","1","1","3","7","1"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","-","1","-","3","1","1","2"
"Parobé","4314050","-29.624300000000","-50.831200000000","6","7","12","6","12","9","8"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","-","-","1","-","-","1","2"
